date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:21	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2023%20Mar%202022%2014:07:21%20GMT	https://www.avax.network/robots.txt		(from )
15:07:21	82326/82326	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2014:07:21%20GMT	https://www.avax.network/	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.avax.network/index.html	(from )
15:07:22	236225/236225	---M-Z	200	added ('OK')	text/css	etag:%22589e375e74a91579c6369aa470af96e3%22	https://assets.website-files.com/6059b554e81c705f9dd2dd32/css/avax-20210101.29bce43bd.min.css	C:/Users/THIS%20PC/Desktop/my%20projects/avax/assets.website-files.com/6059b554e81c705f9dd2dd32/css/avax-20210101.29bce43bd.min.css	(from https://www.avax.network/)
15:07:23	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/THIS%20PC/Desktop/my%20projects/avax/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.avax.network/)
15:07:23	3052/3052	---M--	200	added ('OK')	image/png	etag:%229055d96e5001b3bf5434311a3782d257%22	https://assets.website-files.com/6059b554e81c705f9dd2dd32/60ec67501576936ca3f767ab_AVAX_Token_Red_32.png	C:/Users/THIS%20PC/Desktop/my%20projects/avax/assets.website-files.com/6059b554e81c705f9dd2dd32/60ec67501576936ca3f767ab_AVAX_Token_Red_32.png	(from https://www.avax.network/)
15:07:24	23228/23228	---M--	200	added ('OK')	image/png	etag:%22e77526ffb69ab79f64738e5fe019f2d1%22	https://assets.website-files.com/6059b554e81c705f9dd2dd32/60ec6734b3013629d0a73ae1_AVAX_Token_Red_256.png	C:/Users/THIS%20PC/Desktop/my%20projects/avax/assets.website-files.com/6059b554e81c705f9dd2dd32/60ec6734b3013629d0a73ae1_AVAX_Token_Red_256.png	(from https://www.avax.network/)
15:07:26	850/850	---MC-	200	added ('OK')	text/javascript	date:Wed,%2023%20Mar%202022%2014:07:26%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.google.com/recaptcha/api.js	(from https://www.avax.network/)
15:07:26	83674/83674	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2014:07:26%20GMT	https://www.avax.network/developers	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.avax.network/developers.html	(from https://www.avax.network/)
15:07:27	57592/57592	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2014:07:26%20GMT	https://www.avax.network/validators	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.avax.network/validators.html	(from https://www.avax.network/)
15:07:27	49508/49508	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2014:07:27%20GMT	https://www.avax.network/build	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.avax.network/build.html	(from https://www.avax.network/)
15:07:28	60750/60750	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2014:07:28%20GMT	https://www.avax.network/individuals	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.avax.network/individuals.html	(from https://www.avax.network/)
15:07:29	65970/65970	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2014:07:29%20GMT	https://www.avax.network/solutions	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.avax.network/solutions.html	(from https://www.avax.network/)
15:07:30	66921/66921	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2014:07:29%20GMT	https://www.avax.network/press	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.avax.network/press.html	(from https://www.avax.network/)
15:07:31	63601/63601	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2014:07:30%20GMT	https://www.avax.network/community	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.avax.network/community.html	(from https://www.avax.network/)
15:07:31	64537/64537	---M--	200	added ('OK')	image/png	etag:%22444cacbc91b745d8a9d693257633e893%22	https://assets.website-files.com/6059b554e81c705f9dd2dd32/60ec6a944b52e3e96e16af68_Avalanche_Square_Red_Circle.png	C:/Users/THIS%20PC/Desktop/my%20projects/avax/assets.website-files.com/6059b554e81c705f9dd2dd32/60ec6a944b52e3e96e16af68_Avalanche_Square_Red_Circle.png	(from https://www.avax.network/)
15:07:36	908742/908742	---M--	200	added ('OK')	image/jpeg	etag:%22cf853b80eb9194623da1601e44396dfe%22	https://assets.website-files.com/6059b554e81c705f9dd2dd32/61e059c71015be393f654df1_verne-ho-0LAJfSNa-xQ-unsplash.jpg	C:/Users/THIS%20PC/Desktop/my%20projects/avax/assets.website-files.com/6059b554e81c705f9dd2dd32/61e059c71015be393f654df1_verne-ho-0LAJfSNa-xQ-unsplash.jpg	(from https://www.avax.network/)
15:07:36	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2023%20Mar%202022%2014:07:36%20GMT	https://www.avax.network/ecosystem	C:/Users/THIS%20PC/Desktop/my%20projects/avax/www.avax.network/ecosystem	(from https://www.avax.network/)
